text,label,priority
MIN KENAPA BAYARAN SAYA DAH DITOLAK TAPI DUIT DEDUCT?!,issues,1
"duit dah potong tapi order tak wujud, tolong settle cepat",issues,1
payment berjaya tapi status order 'failed'—refund bila?,issues,1
"refund saya dah lama pending, sampai sekarang tak masuk",issues,1
REFUND TAK MASUK-MASUK!!!,issues,1
"akaun saya kena hack kot, email tukar sendiri",issues,1
"saya tak boleh login, OTP tak sampai langsung",issues,1
"aku kena double charge, tolong pulangkan satu transaksi",issues,1
parcel marked delivered tapi saya tak terima,issues,1
"tracking stuck seminggu, boleh semak?",issues,1
"barang sampai rosak teruk, nak claim sekarang",issues,1
"item salah hantar, saya order lain",issues,1
order saya belum dipack lagi padahal urgent,issues,1
"no resit/consignment note belum keluar, bila pos?",issues,2
booking servis hari ini tapi technician tak datang,issues,1
"janji temu saya hilang dalam app, tapi dah bayar",issues,1
"servis siap tapi hasil tak ikut yang dijanjikan, nak revisi",issues,1
"kena caj tambahan masa technician sampai, padahal dah bayar",issues,1
"invois saya perlukan hari ini, sistem tak keluarkan",issues,1
saya dah cancel tapi masih kena charge,issues,1
boleh semak status order saya sekarang?,issues,2
"order cancel sendiri oleh sistem, kenapa?",issues,1
"alamat penghantaran saya salah, boleh tukar sekarang?",issues,2
"kurier kata gagal hantar sebab alamat tak jumpa, padahal betul",issues,1
"barang kurang dalam parcel, satu item missing",issues,1
servis ditanda selesai tapi belum mula pun,issues,1
duit refund masuk wallet tapi saya nak ke bank,issues,1
payment FPX sukses tapi order tak confirm,issues,1
"QR code tiket saya tak valid masa scan, urgent",issues,1
"order duplicate, saya takut kena caj dua kali",issues,1
READY STOCK ADA? NAK BUY NOW,search,1
"boss, stok ada tak? nak checkout terus",search,1
boleh booking servis hari ni? slot masih ada?,search,1
"harga promo sekarang berapa ya, dalam RM?",search,1
boleh tukar saiz lepas order dibuat?,issues,2
"saya nak ubah nota untuk seller, boleh?",issues,1
"voucher saya tak boleh apply, kenapa ya?",issues,2
poin saya tak masuk lepas pembelian,issues,2
"saya nak tukar method payment selepas order, boleh?",issues,2
boleh reschedule janji temu ke minggu depan?,issues,2
"invoice yang keluar salah nama, boleh betulkan?",issues,2
SST/tax dalam invoice tu kira macam mana?,issues,1
"saya nak minta e-invoice, ada?",issues,2
"barang sampai tapi kotak kemek, boleh claim?",issues,1
"item freegift tak ada dalam parcel, macam mana?",issues,2
apps crash bila buka checkout,issues,1
"saya nak tukar email akaun, langkah dia macam mana?",issues,3
"akaun saya kena lock lepas salah password, nak unlock",issues,1
"saya nak delete akaun, tapi masih fikir-fikir",issues,3
ada diskaun untuk pembelian borong?,search,1
boleh bagi cadangan produk yang sesuai untuk kulit sensitif?,search,2
beza varian standard dengan premium apa?,search,2
spesifikasi penuh boleh share?,search,2
waranti berapa lama ya?,search,1
ada servis pemasangan sekali?,search,1
servis ni termasuk alat ganti atau asing?,search,1
"untuk servis, tempoh siap biasanya berapa jam?",search,1
boleh minta quotation untuk syarikat?,search,1
bahan/material produk ni apa ya?,search,1
produk ni sesuai untuk hadiah?,search,2
boleh custom nama/logo?,search,1
"kalau pre-order, anggaran siap berapa hari ya?",search,1
ongkir/pos kira macam mana?,search,1
cara tukar bahasa app ke Bahasa Malaysia?,issues,3
macam mana nak tukar gambar profil?,issues,3
cara tengok history order lama?,issues,3
nak download resit pembayaran dekat mana?,issues,1
macam mana nak matikan notifikasi promosi?,issues,3
cara guna wishlist/favourite?,issues,3
cara check baki wallet dalam akaun?,issues,3
poin saya expire bila?,issues,2
policy refund boleh baca dekat mana?,issues,3
policy return/exchange ada link tak?,issues,3
macam mana nak buat tiket bantuan?,issues,3
cara attach gambar dalam report?,issues,3
cara logout semua device?,issues,3
cara aktifkan 2FA/verification?,issues,3
"kalau nak tukar alamat default, buat macam mana?",issues,2
cara tengok jadual booking dalam app?,issues,3
kedai buka pukul berapa?,search,3
hari Ahad buka tak?,search,3
alamat kedai/offline store kat mana?,search,3
ada nombor telefon untuk dihubungi?,search,1
ada email rasmi untuk support?,search,1
ada katalog produk/jasa boleh tengok?,search,1
cara order dekat website macam mana?,search,1
cara booking servis langkah demi langkah?,search,1
cara bayar yang disokong apa?,search,1
boleh bayar guna QRIS/DuitNow QR?,search,1
boleh bayar guna e-wallet?,search,1
penghantaran cover kawasan mana?,search,1
servis cover area mana?,search,1
ada FAQ/pusat bantuan?,search,1
ada program reseller/affiliate?,search,1
boleh pickup sendiri di kedai?,search,1
katalog PDF ada tak?,search,1
link invoice tak boleh buka,issues,1
wallet balance tak bertambah lepas topup,issues,1
ada delivery same day?,search,1
KENAPA ORDER SAYA AUTO CANCEL???,issues,1
"receipt saya perlu versi PDF, ada?",issues,1
kedai buka pukul berapa hari ni?,search,3
"saya dah hantar balik barang, status retur tak update",issues,2
boleh bayar guna e-wallet tertentu?,search,1
kurier minta caj tambahan masa serah barang,issues,1
saya nak reset password tapi email reset tak masuk,issues,1
voucher saya hilang lepas checkout gagal,issues,1
checkout loading sampai tak habis-habis,issues,1
tempoh siap servis biasanya berapa lama?,search,1
booking servis saya belum confirm walaupun dah bayar,issues,1
OTP masuk lambat sangat sampai expired,issues,1
saya nak buat retur tapi button tak muncul,issues,1
"tracking tunjuk 'return to sender', apa langkah seterusnya?",issues,3
boleh custom nama/logo? prosedur macam mana?,search,1
hari Ahad buka ke?,search,3
"weh, barang ni ada tak?",search,1
saya terima noti 'failed delivery' tapi saya ada di rumah,issues,1
points/reward tak masuk lagi,issues,2
spesifikasi penuh boleh bagi?,search,2
shipping cover area mana?,search,1
lead time untuk custom biasanya berapa hari?,search,1
size chart ada tak?,search,1
cart saya kosong sendiri lepas pilih courier,issues,1
"saya nak tukar email login, tapi proses verifikasi gagal",issues,1
QR tiket saya blank/empty,issues,1
bayaran FPX successful tapi status masih unpaid,issues,2
beza model A vs model B apa?,search,2
"saya nak berhenti newsletter, macam mana?",issues,1
topup berjaya tapi tak muncul dalam sejarah,issues,1
alamat kedai dekat mana?,search,3
produk ni water resistant?,search,1
harga untuk pakej paling basic berapa?,search,1
"min, bayaran berjaya tapi order stuck 'processing' je",issues,1
pos ke luar negara boleh?,search,1
"technician lewat, boleh reschedule ke esok?",issues,2
saya nak tukar alamat penghantaran sebab tersalah key-in,issues,2
material/bahan produk ni apa?,search,1
saya nak ubah masa appointment tapi gagal save,issues,1
"saya nak tukar nombor phone, tapi tak lepas verification",issues,2
kenapa app crash bila tekan 'Pay'?,issues,1
servis ini cover area mana?,search,1
saya kena caj dua kali untuk satu order,issues,1
"kena caj tambahan untuk servis, tak dimaklumkan awal",issues,1
promo code masuk tapi diskaun tak reflect,issues,1
ada size XXL?,search,1
minimum order untuk borong berapa?,search,1
subscription saya dah cancel tapi masih renew,issues,1
"kurier kata dah hantar, tapi saya tak nampak barang",issues,1
boleh booking servis untuk minggu depan?,search,1
pickup di kedai boleh?,search,1
min boleh semak status aduan saya?,issues,2
boleh semak kenapa transaksi saya ditolak ya,issues,1
tiket aduan saya tertutup automatik,issues,1
duit dah tolak tapi resit pembayaran tak keluar,issues,1
akaun saya tiba-tiba log out sendiri,issues,1
"order saya split shipment, tapi satu parcel belum sampai",issues,1
"saya salah pilih pakej servis, boleh tukar pakej?",issues,2
beli banyak ada harga borong?,search,1
boleh bayar guna DuitNow QR?,search,1
waranti cover apa dan berapa lama?,search,1
"barang sampai pecah, nak claim macam mana?",issues,1
harga servis ikut jam atau ikut kerja?,search,1
saya nak ubah nota penghantaran untuk kurier,issues,1
boleh share katalog terbaru?,search,1
invois keluar tapi nama syarikat salah,issues,1
boleh bayar instalment/paylater?,search,1
saya nak tukar kaedah bayaran selepas order dibuat,issues,2
