text,label,priority
adakah pesanan saya sudah diproses?,issues,1
"pesanan saya statusnya masih menunggu bayaran padahal sudah transfer, boleh disemak?",issues,1
kenapa pesanan saya dibatalkan otomatis?,issues,1
"saya nak ubah alamat penghantaran, masih boleh?",issues,1
"no. trackingnya belum keluar, bila dihantar?",issues,1
"tracking saya tidak bergerak sejak semalam, ada kendala?",issues,1
"barang yang datang tidak sesuai pesanan, macam mana penukarannya?",issues,1
"saya cuma terima 1 item, padahal di invois ada 2",issues,1
"produk sampai dalam keadaan rosak, boleh klaim?",issues,1
"saya salah pilih ukuran, boleh tukar saiz?",issues,2
"saya ingin refund, prosedurnya bagaimana?",issues,1
kenapa baki saya kepotong dua kali untuk transaksi yang sama?,issues,1
"voucher saya tidak terpakai saat checkout, boleh bantu?",issues,2
"pembayaran saya gagal terus, penyelesaian apa ya?",issues,1
saya nak batalkan pesanan yang baru dibuat,issues,1
boleh hantar ulang bukti bayaran saya?,issues,1
bila estimasi pesanan saya sampai?,issues,1
saya belum menerima e-mel pengesahan pesanan,issues,1
"aplikasi error saat saya nak bayar, jadi pesanannya ke-gantung",issues,1
"pesanan saya nyasar ke alamat lama, boleh dibantu?",issues,1
"kurier bilang pakej sudah diterima, tapi saya belum terima",issues,1
kenapa biaya caj penghantaran yang ditagihkan berbeza dari yang di checkout?,issues,1
saya ingin jadualkan semula jadual penghantaran,issues,2
saya nak komplain sebab layanan KHIDMAT PELANGGAN lama respon,issues,3
"akaun saya terkunci selepas salah kata laluan, cara buka?",issues,1
saya lupa kata laluan dan tidak dapat kod OTP,issues,1
langganan saya sudah bayar tapi ciri belum aktif,issues,1
bil saya muncul padahal sudah berhenti berlangganan,issues,1
kenapa transaksi saya ditolak oleh sistem?,issues,1
"saya perlukan invois atau faktur untuk pesanan ini, boleh hantar?",issues,1
"saya sudah hantar pakej return, status refundnya bagaimana?",issues,1
saya ingin tukar kaedah pembayaran selepas pesanan dibuat,issues,2
kenapa poin atau reward saya tidak masuk selepas pembelian?,issues,2
"saya salah memasukkan nombor telefon, boleh dibetulkan?",issues,1
"pesanan saya terduplikasi, yang benar yang mana?",issues,1
saya nak ajukan garansi untuk barang yang baru saya beli,issues,1
"barang yang diterima kurang aksesorinya, bagaimana?",issues,1
adakah boleh mempercepat penghantaran untuk pesanan yang sudah dibuat?,issues,1
"saya tidak boleh checkout, muncul pesan stok habis padahal tadi ada",issues,1
saya sudah bayar COD tapi statusnya masih belum dibayar,issues,1
kenapa baki e-wallet saya belum kembali selepas pembatalan?,issues,1
"saya ingin menghapus akaun saya, prosesnya bagaimana?",issues,3
"pemesanan layanan saya tidak tercatat, padahal sudah selesai bayar",issues,1
"saya salah pilih tanggal booking, boleh tukar?",issues,2
minta bantuan untuk melacak pesanan nombor 12345,issues,1
"pakej saya kembali ke pengirim, bagaimana kelanjutannya?",issues,1
kenapa ada biaya tambahan saat kurier datang?,issues,1
saya menerima notifikasi gagal hantar padahal saya di rumah,issues,1
"pesanan saya sudah lama di diproses, bila selesai?",issues,1
saya ingin pengesahan adakah pesanan saya sudah masuk ke sistem,issues,1
adakah produk A masih tersedia?,search,1
ada rekomendasi produk yang sesuai untuk kulit sensitif?,search,2
berapa harga untuk pakej yang paling murah?,search,1
produk ini ada warna hitam tidak?,search,2
tersedia ukuran M dan L?,search,1
ada pilihan pakej bundling?,search,1
apa saja menu yang tersedia hari ini?,search,1
boleh minta katalog produk terbaru?,search,2
produk yang kompatibel untuk iPhone 13 ada apa saja?,search,2
ada barang yang ready stock untuk dihantar hari ini?,search,1
bedanya varian regular dan premium apa?,search,2
ada promo atau diskon yang sedang berlaku?,search,1
adakah ada layanan pemasangan di tempat?,search,1
waktu operasi tokonya bila?,search,3
"boleh pesan untuk acara 50 orang, pakejnya apa saja?",search,1
ada opsi pembayaran cicilan?,search,1
berapa lama garansi untuk produk ini?,search,2
adakah bahan produk ini anti air?,search,2
produk ini halal dan sudah bersertifikat?,search,2
ada produk yang ramah lingkungan?,search,2
"saya cari yang kapasitas 1 liter, ada?",search,2
"untuk budget 500 ribu, rekomendasinya apa?",search,2
adakah ada layanan express delivery?,search,1
boleh jelaskan spesifikasi lengkapnya?,search,2
produk yang paling laris yang mana?,search,2
ada pilihan custom nama atau ukiran?,search,2
saya perlukan yang sesuai untuk anak usia 3 tahun,search,2
adakah tersedia refill atau spare part?,search,1
"untuk kamar ukuran 3x4, AC berapa PK yang sesuai?",search,2
ada pakej servis rutin? detailnya macam mana?,search,1
"saya cari sepatu lari untuk pemula, rekomendasi?",search,2
ada stok bahan baku untuk 10 kg?,search,1
adakah boleh request sampel dulu?,search,2
produk ini boleh dihantar ke luar bandar?,search,1
ada pilihan ukuran mini atau travel saiz?,search,2
bagaimana cara pemakaian produk ini?,search,2
"saya cari laptop untuk desain, spek minimumnya apa?",search,2
apa perbedaan pakej basic dan pro?,search,1
ada opsi langganan bulanan?,search,2
ketersediaan layanan di area Jakarta Selatan ada?,search,1
boleh rekomendasikan produk yang sesuai untuk hadiah?,search,2
produk ini ada versi tanpa gula?,search,2
adakah ada kursus untuk level pemula?,search,2
"saya cari printer yang support wifi, ada?",search,2
ada stok parfum varian vanilla?,search,1
boleh lihat daftar harga grosir?,search,1
apa saja kaedah penghantaran yang tersedia?,search,1
adakah produk ini aman untuk ibu hamil?,search,2
"saya cari yang boleh dipakai indoor dan outdoor, ada saran?",search,2
produk apa yang sesuai untuk mengganti item yang sudah discontinued?,search,2
"status pesanan saya sekarang apa ya, masih diproses atau sudah pembungkusan?",issues,1
"pesanan saya sudah dibayar tapi masih tertulis menunggu bayaran, mohon semak",issues,1
"saya nak tambah jumlah barang di pesanan yang sudah dibuat, boleh?",issues,1
"alamat penghantaran saya salah ketik nombor rumah, boleh dibetulkan?",issues,1
"kod verifikasi (OTP) tidak masuk-masuk, sudah coba hantar ulang",issues,1
akaun saya tiba-tiba logout dan tidak boleh masuk lagi,issues,1
"login pakai Google gagal terus, muncul error",issues,1
"saya sudah top up baki, tapi belum masuk ke akaun",issues,1
"transaksi berhasil, tapi pesanannya tidak muncul di riwayat",issues,1
kenapa pembayaran lewat virtual account saya tamat tempoh padahal baru dibuat?,issues,1
"kartu saya sudah terdebit tapi pesanan gagal, macam mana pengembaliannya?",issues,1
"saya ingin batalkan pesanan, tapi tombol batalkan tidak ada",issues,1
"produk yang saya pesan ternyata stok kosong, bila dihantar atau diganti?",issues,1
"pesanan saya dihantar terpisah, tapi satu pakej belum sampai",issues,1
barang yang datang warnanya berbeza dari yang saya pilih,issues,1
saya tidak menerima bonus/freebie yang sepatutnya ikut pakej,issues,1
"mohon bantu proses return, saya ingin barang dijemput kurier",issues,1
"refund saya sudah disetujui, tapi dana belum masuk juga",issues,1
"saya sudah return barang, statusnya masih 'menunggu barang kembali'",issues,1
"komplain saya sudah dibuat, tapi belum ada update nombor tiket",issues,1
"saya nak tukar e-mel akaun, tapi verifikasinya gagal",issues,1
"nombor TELEFON saya sudah tidak aktif, saya tidak boleh verifikasi",issues,1
kod referral tidak boleh dipakai padahal baru,issues,2
voucher saya terpotong tapi diskonnya tidak mengurangi total bayar,issues,2
aplikasi tertutup sendiri saat buka halaman checkout,issues,1
troli saya kosong sendiri selepas saya pilih produk,issues,1
status pesanan saya nyangkut di 'menunggu pengesahan' terlalu lama,issues,1
kurier tidak boleh menghubungi saya padahal nombor sudah benar,issues,1
"penghantaran dijadwalkan hari ini, tapi kurier tidak datang",issues,2
"pakej ditandai gagal antar sebab alamat tidak ditemukan, padahal jelas",issues,1
saya ditagih biaya COD lebih besar dari total di aplikasi,issues,1
poin/reward saya berkurang padahal tidak pernah dipakai,issues,2
poin belanja saya belum bertambah selepas transaksi selesai,issues,2
baki saya jadi minus selepas pembatalan pesanan,issues,1
"saya dapat notifikasi pesanan berhasil dua kali, adakah dobel?",issues,1
"saya nak perpanjang tanggal booking, tapi tidak boleh diubah",issues,1
"jadual layanan saya ingin dipindah ke jam lain, mohon bantu",issues,2
"petugas/teknisi tidak hadir sesuai jadual, bagaimana solusinya?",issues,2
"layanan sudah selesai, tapi status masih berjalan di aplikasi",issues,1
"saya tidak boleh unduh e-ticket / voucher, halaman blank",issues,2
"QR code tiket saya tidak valid saat dipakai, tolong semak",issues,1
saya dikenakan biaya pembatalan padahal belum ada pelayanan,issues,1
"produk yang saya terima segelnya rosak, saya khawatir",issues,1
"kemasan pakej bocor saat sampai, isi berantakan",issues,1
"makanan/minuman yang diterima sudah lewat tanggal, boleh klaim?",issues,1
nombor seri di kartu garansi tidak sesuai dengan barangnya,issues,1
"saya tidak boleh upload dokumen verifikasi, selalu gagal",issues,1
akaun saya masih 'menunggu verifikasi' sudah beberapa hari,issues,1
"pesanan B2B saya sudah setuju penawaran, tapi tidak terbentuk pesanan",issues,1
"saya nak ubah lokasi pengambilan untuk pesanan ini, masih boleh?",issues,1
"saya cari produk untuk kebutuhan kantor, kategori apa yang tersedia?",search,1
ada stok untuk varian warna navy?,search,1
produk ini tersedia ukuran XXL?,search,1
boleh hantar saiz chart lengkap?,search,1
"saya perlukan produk yang sesuai untuk hadiah ulang tahun, ada saran?",search,2
ada pilihan kemasan gift wrap?,search,2
berapa estimasi caj penghantaran ke luar pulau?,search,1
"untuk penghantaran same day, syaratnya apa?",search,1
adakah ada opsi pre-order kalau stok habis?,search,1
produk ini ada versi refurbished atau second?,search,2
nak tanya bahan/material produk ini apa?,search,2
komposisi/ingredient lengkapnya boleh diinformasikan?,search,2
produk ini bebas BPA atau food grade?,search,2
apa isi pakej pembelian (kelengkapan dalam box) ?,search,1
berapa lama masa pakai atau expired produk ini?,search,2
ada pilihan aroma citrus?,search,2
notes parfum ini dominan apa ya?,search,2
produk ini sesuai untuk pemakaian harian atau outdoor?,search,2
"saya perlukan yang tahan panas, ada rekomendasi?",search,2
boleh rekomendasikan yang sesuai untuk ruangan kecil?,search,2
"untuk anak sekolah, item yang paling sesuai yang mana?",search,2
ada produk yang tidak mengandung gula?,search,2
berapa kalori per porsi untuk menu ini?,search,2
menu vegetarian/vegan ada apa saja?,search,2
adakah produk ini support Android dan iOS?,search,2
boleh dipakai untuk Windows 11?,search,2
kompatibel dengan tipe mesin/model X tidak?,search,2
"saya cari aksesoris original untuk produk ini, ada?",search,2
spare part seperti filter atau baterai tersedia?,search,1
berapa daya listrik yang dibutuhkan?,search,2
baterainya tahan berapa jam pemakaian?,search,2
adakah boleh bayar pakai e-wallet tertentu?,search,1
minimal pembelian untuk grosir berapa?,search,1
ada potongan harga kalau beli banyak?,search,1
boleh minta daftar pakej untuk corporate/instansi?,search,1
layanan tersedia untuk area Bandung?,search,1
adakah ada konsultasi percuma sebelum pesanan?,search,2
boleh jadwalkan demo atau trial produk?,search,2
lead time untuk custom pesanan biasanya berapa lama?,search,1
warna yang tersedia untuk seri terbaru apa saja?,search,1
mana yang lebih bagus antara model A dan model B?,search,2
adakah ada produk alternatif yang harganya lebih terjangkau?,search,2
range harga untuk kategori ini mulai dari berapa?,search,1
ada pakej hemat untuk pemula?,search,1
boleh jelaskan perbedaan varian 1 dan varian 2?,search,2
lokasi kedai/kedai fizikal ada di mana?,search,3
adakah ada layanan antar pasang (termasuk instalasi)?,search,1
jam buka layanan atau kedai hari Ahad ada?,search,3
adakah produk ini tersedia dalam bentuk pakej langganan?,search,1
"kalau langganan, benefit yang didapat apa saja?",search,2
MIN KENAPA PESANAN SAYA MASIH 'DIPROSES' SEJAK SEMALAM!!!,issues,1
"min, pesanan aku dah bayar tapi statusnya belum berubah, semak ya",issues,1
"BARU BAYAR TAPI PESANAN TAK MASUK, HELPPP",issues,1
"baki kepotong tapi transaksi gagal, minta balikin ya",issues,1
"uang saya KEDEBIT 2x, ini macam mana???",issues,1
refund dah disetujui tapi duitnya belum masuk,issues,1
MIN REFUNDNYA BILA MASUK!!!!,issues,1
pesanan saya kenapa belum dibungkus ya? sudah 2 hari,issues,1
"kak no. tracking belum keluar, tolong dipercepat",issues,1
pakej saya statusnya delivered tapi saya belum nerima,issues,1
"kurier bilang dah serah terima, padahal saya tak ada di rumah",issues,1
"pakejnya nyangkut di sortir terus, ada kendala?",issues,1
"alamat penghantaran nak saya koreksi, boleh dibantu cepat?",issues,1
"saya salah input alamat + kod pos, masih boleh revisi?",issues,1
"nak ubah penerima dan nombor telefon di pesanan, boleh?",issues,1
"pesanan saya keburu dibatalin sistem, padahal saya masih nak",issues,2
min saya nak cancel pesanan tapi error terus,issues,2
"barang yg sampai berbeza varian, mohon penyelesaian",issues,1
"produk datang pecah/retak, saya nak klaim",issues,1
"pembungkusan rosak parah, isi barang jadi penyok",issues,1
"pesanan kurang 1 item, yang kurang bila dihantar?",issues,1
penghantaran percumanya digunakan tapi caj penghantaran tetap ditagih,issues,2
voucher kepotong tapi diskonnya tak masuk,issues,2
kupon saya invalid padahal belum pernah dipakai,issues,2
saya perlukan invois sekarang untuk admin kantor,issues,1
"invois / faktur pajaknya belum terbit, tolong hantar",issues,1
"akaun saya kayaknya dibajak, e-mel & nombor berubah sendiri",issues,1
